@relation Leaf
@attribute histogram numeric
@attribute stdDev numeric
@attribute mean numeric
@attribute class {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200}
@data
0,75.35056159456272,131.81984375,1
0,68.21862715084315,129.626640625,1
0,65.70080292221601,128.17811197916666,1
0,64.65084603588706,129.89552408854166,1
0,61.84875241280674,129.489189453125,1
0,61.570477977496985,129.99893229166668,1
0,65.03335406364378,129.48702799479167,1
0,64.47046569035149,128.57093424479166,1
0,66.80057235950815,129.381806640625,1
0,72.25203657875217,127.71515299479167,1
0,61.56955688691934,129.471142578125,1
0,61.990111068960104,129.41599609375,1
0,56.236488467964556,118.41651692708334,1
8,34.813506256652396,59.587109375,1
0,65.82400774512932,137.29824869791668,2
0,61.564120447574474,132.88513020833332,2
0,60.68344673755815,132.03456380208334,2
0,60.05462091769923,133.346201171875,2
0,59.13973774487957,132.18149739583333,2
0,57.8846103896605,132.39087565104165,2
0,57.94365343045187,132.739189453125,2
0,58.597024422290815,131.79227864583333,2
0,60.02216526791353,132.859765625,2
0,64.34968025371373,130.27187825520832,2
0,57.94491024578969,132.12189778645833,2
0,57.80725981157708,132.60886393229165,2
0,51.764701513949056,114.20803059895833,2
38,32.3630664372593,56.92490234375,2
0,59.16401378790717,138.196513671875,3
0,54.40613801785825,133.22168619791665,3
0,52.81433407033462,133.67319010416668,3
0,53.396352957262685,131.72478841145832,3
0,50.06604441224121,132.25832682291667,3
0,49.48266133759388,131.41374674479167,3
0,51.131287009799365,129.60488932291668,3
0,52.21689035197292,132.25786458333334,3
0,53.58837411489891,132.31163411458334,3
0,58.35527793925585,131.331796875,3
0,49.974376015108156,131.95251953125,3
0,50.29539227538655,131.89372395833334,3
0,45.344150724575115,112.085146484375,3
